site,year,block,plot,pd,pd_fac,rate,sample_date_standcounts,seedling_n,sample_date_groundcover,sp1_gc,sp2_gc,sp3_gc,canopy_cover,sample_date_anthesis,sp1,sp2,sp3,rye_g,weed_g,LRR_weeds,RCI_weeds,rye_kg,weed_kg,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_OM,
BARC,2022,2,201,oct21,2,60,11/6/21,51,3/8/22,unknown,STEME,na,88.67,5/11/22,STEME,CARHI,na,281.2,4.87,0.651927788,-0.919237148,11248,194.8,,,25.0335,6.53,56,2.38,
BARC,2022,3,314,oct21,2,60,11/6/21,47,3/8/22,speedwell,LAMAM,STEME,90.88,5/11/22,VICVI,POATR,STEME,205.2,6.17,0.65778837,-0.930518018,8208,246.8,,,25.0335,6.53,56,2.38,
BARC,2022,2,216,oct4,1,60,10/19/21,38,3/8/22,STEME,LAMAM,na,68.01,5/11/22,STEME,CARHI,na,235.4,0.57,0.689334849,-0.992389853,9416,22.8,,,13.901,6.58,63,2.38,
BARC,2022,3,304,nov10,3,90,12/3/21,29,3/8/22,LAMAM,speedwell,STEME,63.9,5/11/22,VICVI,CAPBP,na,97.7,83.3,0.365034799,-0.440564137,3908,3332,,,10.971,6.91,76,1.52,
BARC,2022,1,117,nov10,3,90,12/3/21,42,3/8/22,LAMAM,speedwell,na,60.49,5/11/22,VICVI,speedwell,VIOAR,142.6,34.4,0.395953147,-0.485799701,5704,1376,,,10.971,6.91,76,1.52,
BARC,2022,1,110,oct21,2,90,11/6/21,93,3/8/22,VICVI,LAMAM,STEME,83.27,5/11/22,VICVI,ANTCO,VIOAR,163.7,23.5,0.468504218,-0.59760274,6548,940,,,25.0335,6.53,56,2.38,
BARC,2022,3,313,oct21,2,90,11/6/21,76,3/8/22,speedwell,LAMAM,unknown 2,79.6,5/11/22,VICVI,STEME,POATR,158.5,29.1,0.514198308,-0.672297297,6340,1164,,,25.0335,6.53,56,2.38,
BARC,2022,1,105,oct4,1,90,10/19/21,55,3/8/22,speedwell,LAMAM,VICVI,64.23,5/11/22,VICVI,ANTCO,dock,176.4,13.1,0.630160732,-0.877912395,7056,524,,,13.901,6.58,63,2.38,
BARC,2022,2,209,nov10,3,90,12/3/21,12,3/8/22,LAMAM,unknown,na,35.26,5/11/22,STEME,CAPBP,speedwell,156.4,2.7,0.638087403,-0.892857143,6256,108,,,10.971,6.91,76,1.52,
BARC,2022,2,205,oct21,2,90,11/6/21,90,3/8/22,STEME,LAMAM,unknown,85.45,5/11/22,STEME,THLAR,CARHI,268.5,1.47,0.68088323,-0.975621891,10740,58.8,,,25.0335,6.53,56,2.38,
BARC,2022,3,310,oct4,1,90,10/19/21,55,3/8/22,speedwell,LAMPU,STEME,70.64,5/11/22,VICVI,speedwell,STEME,190.9,2.27,0.68306112,-0.979929266,7636,90.8,,,13.901,6.58,63,2.38,
BARC,2022,2,214,oct4,1,90,10/19/21,72,3/8/22,STEME,speedwell,LAMAM,66.74,5/11/22,STEME,speedwell,CAPBP,244.3,1.47,0.683285631,-0.980373832,9772,58.8,,,13.901,6.58,63,2.38,
BARC,2022,3,303,nov10,3,120,12/3/21,28,3/8/22,LAMAM,VICVI,STEME,67.23,5/11/22,VICVI,na,na,73.9,73,0.411936178,-0.509738079,2956,2920,,,10.971,6.91,76,1.52,
BARC,2022,1,108,oct21,2,120,11/6/21,113,3/8/22,VICVI,speedwell,LAMAM,75.65,5/11/22,VICVI,speedwell,VIOAR,170.8,26.2,0.439138323,-0.551369863,6832,1048,,,25.0335,6.53,56,2.38,
BARC,2022,1,106,oct4,1,120,10/19/21,74,3/8/22,VIOAR,speedwell,LAMAM,47.3,5/11/22,VICVI,ANTCO,VIOAR,151.6,34.9,0.515660144,-0.674743709,6064,1396,,,13.901,6.58,63,2.38,
BARC,2022,1,116,nov10,3,120,12/3/21,61,3/8/22,LAMAM,speedwell,unknown,58.48,5/11/22,VICVI,speedwell,VIOAR,146.5,16.9,0.558119901,-0.747384155,5860,676,,,10.971,6.91,76,1.52,
BARC,2022,3,317,oct21,2,120,11/6/21,89,3/8/22,speedwell,unknown,THLAR,73.05,5/11/22,CAPBP,STEME,POATR,181,11.77,0.624576517,-0.867454955,7240,470.8,,,25.0335,6.53,56,2.38,
BARC,2022,2,210,nov10,3,120,12/3/21,48,3/8/22,LAMAM,unknown,speedwell,54.02,5/11/22,CAPBP,THLAR,speedwell,269.1,2.2,0.648515027,-0.912698413,10764,88,,,10.971,6.91,76,1.52,
BARC,2022,2,204,oct21,2,120,11/6/21,107,3/8/22,LAMAM,speedwell,STEME,84.38,5/11/22,STEME,speedwell,CARHI,266.5,3.47,0.663952325,-0.942454395,10660,138.8,,,25.0335,6.53,56,2.38,
BARC,2022,3,307,oct4,1,120,10/19/21,68,3/8/22,LAMAM,STEME,LAMPU,91.84,5/11/22,VICVI,na,na,288.8,6,0.666263841,-0.946949602,11552,240,,,13.901,6.58,63,2.38,
BARC,2022,3,218,oct4,1,120,10/19/21,59,3/8/22,STEME,na,na,47.79,5/11/22,STEME,unknown,na,135.5,0.87,0.687322506,-0.988384513,5420,34.8,,,13.901,6.58,63,2.38,
CT,2023,1,3,9/29/22,1,0,10/18/22,0,4/13/23,na,na,na,0.2,5/23/23,STEME,Broadleaf Plantain,Red Clover,0,3.2,0,0,0,128,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,1,10,10/13/22,2,0,11/3/22,0,4/13/23,na,na,na,0.23,5/23/23,Red Clover,Corn Speedwell,Annual Ragweed,0,14.2,0,0,0,568,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,1,15,10/31/22,3,0,11/17/22,0,4/13/23,na,na,na,0.3,5/23/23,Annual Ragweed,STEME,Broadleaf Plantain,0,12.3,0,0,0,492,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,2,20,10/13/22,2,0,11/3/22,0,4/13/23,na,na,na,0.3,5/23/23,Ladysthumb Smartweed,STEME,Annual Ragweed,0,3.9,0,0,0,156,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,30,9/29/22,1,0,10/18/22,0,4/13/23,STEME,na,na,1.12,5/23/23,STEME,Red Clover,Ladysthumb Smartweed,0,26.2,0,0,0,1048,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,2,31,10/31/22,3,0,11/17/22,0,4/13/23,na,na,na,0.29,5/23/23,Red Clover,STEME,Common Lambsquarters,0,10.1,0,0,0,404,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,38,10/31/22,3,0,11/17/22,0,4/13/23,na,na,na,0.28,5/24/23,Red Clover,Thymeleaf Speedwell,Ladysthumb Smartweed,0,13.9,0,0,0,556,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,48,10/13/22,2,0,11/3/22,0,4/13/23,na,na,na,0.36,5/24/23,Thymeleaf Speedwell,Common Lambsquarters,Prickly Lettuce,0,10,0,0,0,400,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,3,53,9/29/22,1,0,10/18/22,0,4/13/23,na,na,na,0.39,5/24/23,Red Clover,Thymeleaf Speedwell,STEME,0,10.7,0,0,0,428,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,2,22,10/13/22,2,15,11/3/22,13,4/13/23,na,na,na,3.31,5/23/23,STEME,Ladysthumb Smartweed,Red Clover,51.7,5.7,-0.619039208,0.461538462,2068,228,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,35,10/31/22,3,15,11/17/22,10,4/13/23,na,na,na,0.19,5/23/23,Red Clover,Ladysthumb Smartweed,Deadnettle,2,13.2,-0.366625275,0.306930693,80,528,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,39,10/31/22,3,15,11/17/22,13,4/13/23,na,na,na,0.27,5/24/23,Red Clover,Thymeleaf Speedwell,Common Lambsquarters,1.6,11.8,0.140699882,-0.151079137,64,472,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,1,4,9/29/22,1,15,10/18/22,11,4/13/23,na,na,na,1.32,5/23/23,STEME,Ladysthumb Smartweed,Red Clover,40.6,2.2,0.271933715,-0.3125,1624,88,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,1,18,10/31/22,3,15,11/17/22,14,4/13/23,na,na,na,4.95,5/23/23,Annual Ragweed,STEME,Cornf Speedwell,38.7,6.3,0.397301797,-0.487804878,1548,252,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,2,29,9/29/22,1,15,10/18/22,13,4/13/23,STEME,na,na,17.37,5/23/23,Red Clover,STEME,Corn Speedwell,82.9,13.4,0.397802235,-0.488549618,3316,536,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,3,44,10/13/22,2,15,11/3/22,11,4/13/23,na,na,na,3.07,5/24/23,Red Clover,Thymeleaf Speedwell,Shepherds Purse,10.5,4,0.470003629,-0.6,420,160,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,3,52,9/29/22,1,15,10/18/22,42,4/13/23,STEME,na,na,25.2,5/24/23,Red Clover,STEME,na,122.7,2.1,0.589861354,-0.803738318,4908,84,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,1,11,10/13/22,2,15,11/3/22,28,4/13/23,na,na,na,4.31,5/23/23,Red Clover,STEME,Ladysthumb Smartweed,43.6,1.9,0.623902768,-0.866197183,1744,76,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,1,6,9/29/22,1,25,10/18/22,25,4/13/23,Yellow Nutsedge,na,na,30.1,5/23/23,Yellow Nutsedge,STEME,Red Clover,137.7,20,na,5.25,5508,800,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,2,24,10/13/22,2,25,11/3/22,17,4/13/23,STEME,na,na,11.22,5/23/23,STEME,Red Clover,Corn Speedwell,94.6,7.2,-1.871802177,0.846153846,3784,288,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,36,10/31/22,3,25,11/17/22,14,4/13/23,na,na,na,0.24,5/23/23,STEME,Annual Ragweed,Ladysthumb Smartweed,4.5,12.4,-0.25841169,0.227722772,180,496,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,1,7,10/13/22,2,25,11/3/22,22,4/13/23,STEME,na,na,7.54,5/23/23,STEME,Red Clover,Broadleaf Plantain,46.6,11.4,0.179971379,-0.197183099,1864,456,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,3,41,10/31/22,3,25,11/17/22,10,4/13/23,na,na,na,0.87,5/24/23,Thymeleaf Speedwell,Shepherds Purse,Common Lambsquarters,6.9,7.8,0.363843433,-0.438848921,276,312,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,51,9/29/22,1,25,10/18/22,16,4/13/23,STEME,na,na,10.55,5/24/23,Red Clover,STEME,Thymeleaf Speedwell,51.5,5.8,0.377027173,-0.457943925,2060,232,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,3,45,10/13/22,2,25,11/3/22,24,4/13/23,na,na,na,6.86,5/24/23,Red Clover,STEME,na,97.3,4.8,0.418710335,-0.52,3892,192,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,26,9/29/22,1,25,10/18/22,49,4/13/23,STEME,na,na,38.35,5/23/23,STEME,Red Clover,na,176.2,10.5,0.469526416,-0.599236641,7048,420,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,1,13,10/31/22,3,25,11/17/22,11,4/13/23,na,na,na,0.85,5/23/23,Annual Ragweed,STEME,Yellow Nutsedge,4.2,3.8,0.525353724,-0.691056911,168,152,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,40,10/31/22,3,50,11/17/22,12,4/13/23,na,na,na,2.23,5/24/23,Ladysthumb Smartweed,Thymeleaf Speedwell,Red Clover,37.6,9.6,0.269532754,-0.309352518,1504,384,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,1,1,9/29/22,1,50,10/18/22,32,4/13/23,na,na,na,11.78,5/23/23,STEME,Red Clover,Annual Ragweed,61.2,1.6,0.405465108,-0.5,2448,64,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,2,23,10/13/22,2,50,11/3/22,34,4/13/23,na,na,na,12.45,5/23/23,STEME,Corn Speedwell,Ladysthumb Smartweed,108.9,1.8,0.430782916,-0.538461538,4356,72,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,1,17,10/31/22,3,50,11/17/22,23,4/13/23,na,na,na,1.63,5/23/23,Annual Ragweed,Red Clover,STEME,100.3,2.3,0.594987416,-0.81300813,4012,92,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,50,9/29/22,1,50,10/18/22,65,4/13/23,na,na,na,18.44,5/24/23,Red Clover,STEME,Corn Speedwell,81.3,1.8,0.605285825,-0.831775701,3252,72,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,3,43,10/13/22,2,50,11/3/22,57,4/13/23,na,na,na,30.03,5/24/23,Red Clover,Thymeleaf Speedwell,na,92.5,0.6,0.662687973,-0.94,3700,24,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,1,12,10/13/22,2,50,11/3/22,28,4/13/23,na,na,na,15.5,5/23/23,STEME,Red Clover,na,123.2,0.6,0.671794056,-0.957746479,4928,24,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,34,10/31/22,3,50,11/17/22,50,4/13/23,na,na,na,8.38,5/23/23,Annual Ragweed,Red Clover,na,89.5,0.2,0.68319685,-0.98019802,3580,8,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,2,27,9/29/22,1,50,10/18/22,64,4/13/23,na,na,na,32.09,5/23/23,Red Clover,STEME,Annual Ragweed,203,0.5,0.683559379,-0.980916031,8120,20,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,1,5,9/29/22,1,80,10/18/22,38,4/13/23,na,na,na,14.19,5/23/23,Yellow Nutsedge,STEME,Corn Speedwell,58,12.1,na,2.78125,2320,484,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,2,21,10/13/22,2,80,11/3/22,65,4/13/23,STEME,na,na,25.75,5/23/23,STEME,Yellow Nutsedge,Red Clover,156.3,7.2,-1.871802177,0.846153846,6252,288,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,1,16,10/31/22,3,80,11/17/22,46,4/13/23,na,na,na,8.01,5/23/23,Annual Ragweed,Red Clover,STEME,108,3.7,0.530149897,-0.699186992,4320,148,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,42,10/31/22,3,80,11/17/22,42,4/13/23,na,na,na,5.64,5/24/23,Red Clover,Thymeleaf Speedwell,Ladysthumb Smartweed,75.4,3.1,0.574914403,-0.776978417,3016,124,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,54,9/29/22,1,80,10/18/22,98,4/13/23,STEME,na,na,30.61,5/24/23,Red Clover,STEME,na,134.9,1.6,0.615438196,-0.85046729,5396,64,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,1,8,10/13/22,2,80,11/3/22,44,4/13/23,STEME,na,na,19.82,5/23/23,STEME,Red Clover,Annual Ragweed,129.3,1.6,0.635159923,-0.887323944,5172,64,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,28,9/29/22,1,80,10/18/22,75,4/13/23,STEME,na,na,44.57,5/23/23,Red Clover,STEME,Corn Speedwell,179.3,2.7,0.640245522,-0.896946565,7172,108,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,3,46,10/13/22,2,80,11/3/22,56,4/13/23,na,na,na,19.42,5/24/23,Red Clover,Annual Ragweed,na,106.7,0.6,0.662687973,-0.94,4268,24,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,32,10/31/22,3,80,11/17/22,70,4/13/23,na,na,na,16.57,5/23/23,Red Clover,na,na,119.5,0.4,0.673146514,-0.96039604,4780,16,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,1,2,9/29/22,1,105,10/18/22,59,4/13/23,na,na,na,14.44,5/23/23,STEME,Corn Speedwell,Annual Ragweed,74.4,6.5,na,1.03125,2976,260,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,2,19,10/13/22,2,105,11/3/22,79,4/13/23,na,na,na,15.29,5/23/23,Red Clover,Annual Ragweed,STEME,69.6,2,0.396881364,-0.487179487,2784,80,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,1,14,10/31/22,3,105,11/17/22,21,4/13/23,na,na,na,0.2,5/23/23,Annual Ragweed,Red Clover,Ladysthumb Smartweed,17.3,4.4,0.496083342,-0.642276423,692,176,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,1,9,10/13/22,2,105,11/3/22,58,4/13/23,na,na,na,23.79,5/23/23,Corn Speedwell,STEME,Red Clover,134.8,3.4,0.56563386,-0.76056338,5392,136,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,3,49,9/29/22,1,105,10/18/22,99,4/13/23,na,na,na,24.57,5/24/23,Red Clover,STEME,na,119.3,1.2,0.635438863,-0.887850467,4772,48,925.08,1493.70,15.8,6.23,87,3.86,
CT,2023,2,33,10/31/22,3,105,11/17/22,52,4/13/23,na,na,na,17.12,5/23/23,Red Clover,Annual Ragweed,na,154,0.8,0.652737642,-0.920792079,6160,32,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,37,10/31/22,3,105,11/17/22,40,4/13/23,na,na,na,19.82,5/24/23,Red Clover,Annual Ragweed,Corn Speedwell,126,1.1,0.652774725,-0.920863309,5040,44,552.86,1121.48,29.05,6.02,85,3.76,
CT,2023,3,47,10/13/22,2,105,11/3/22,91,4/13/23,na,na,na,17.52,5/24/23,Red Clover,Thymeleaf Speedwell,na,147.1,0.4,0.672944473,-0.96,5884,16,768.56,1337.18,19.6,6.2,85,3.94,
CT,2023,2,25,9/29/22,1,105,10/18/22,75,4/13/23,na,na,na,20.45,5/23/23,Red Clover,STEME,na,93.3,0.8,0.677762262,-0.969465649,3732,32,925.08,1493.70,15.8,6.23,87,3.86,
DE,2022,1,106,oct13,1,0,11/10/21,0,3/29/22,Whitlowgrass,Henbit,Common chickweed,3,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,2,215,oct13,1,0,11/10/21,0,3/29/22,Whitlowgrass,Henbit,Annual bluegrass,3.86,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,3,317,oct13,1,0,11/10/21,0,3/29/22,Whitlowgrass,Henbit,Common chickweed,3.21,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,4,418,oct13,1,0,11/10/21,0,3/29/22,Common chickweed,Whitlowgrass,Henbit,7.39,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,1,116,nov2,2,0,12/2/21,0,3/29/22,Whitlowgrass,Henbit,Cutleaf evening primrose,4.05,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,2,203,nov2,2,0,12/2/21,0,3/29/22,Whitlowgrass,Henbit,Jagged chickweed,4.15,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,3,304,nov2,2,0,12/2/21,0,3/29/22,Whitlowgrass,Henbit,na,3.57,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,4,403,nov2,2,0,12/2/21,0,3/29/22,Whitlowgrass,Common chickweed,Henbit,3.44,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,1,108,nov17,3,0,12/13/21,0,3/29/22,Whitlowgrass,Henbit,Jagged chickweed,5.28,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,2,210,nov17,3,0,12/13/21,0,3/29/22,Whitlowgrass,Henbit,Jagged chickweed,3.89,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
DE,2022,3,308,nov17,3,0,12/13/21,0,3/29/22,Whitlowgrass,Henbit,Annual bluegrass,5.11,5/12/22,na,na,na,0,na,na,na,0,na,,,na,na,na,na,
